Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R28,1kΩ,R_0603,154.5412,-80.4408,270.0,bottom
R29,22Ω,R_0603,167.0112,-97.6308,180.0,top
R3,13.3k,R_0603_1608Metric,161.06302,-98.8028,0.0,top
R30,1kΩ,R_0603,148.3312,-77.1308,270.0,bottom
R31,1kΩ,R_0603,151.4212,-77.2308,270.0,bottom
R32,1kΩ,R_0603,154.5612,-77.1308,270.0,bottom
R4,330Ω,R_0603,164.0112,-103.0308,0.0,top
R5,33k,R_0603_1608Metric,147.1212,-115.3108,90.0,top
R6,22R,R_0603_1608Metric,150.9712,-105.7608,180.0,top
R7,22R,R_0603_1608Metric,151.7112,-107.3108,180.0,top
R8,22k,R_0402_1005Metric,147.9112,-102.6508,0.0,top
R9,43k,R_0402_1005Metric,145.9712,-102.6608,0.0,top
TH1,10k,PinHeader_1x02_P2.54mm_Vertical,178.5112,-73.1358,180.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,163.961199,-77.6308,0.0,top
U10,~,ts-1212f,90.0612,-113.1308,270.0,bottom
U11,~,ts-1212f,199.5612,-122.1308,270.0,bottom
U12,~,ts-1212f,184.0612,-120.1308,270.0,bottom
U13,~,ts-1212f,73.5612,-122.1308,270.0,bottom
U14,MCP23017_ML,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,130.4112,-72.7508,90.0,top
U15,~,ts-1212f,122.0612,-120.1308,270.0,bottom
U16,~,ts-1212f,137.5612,-112.6308,270.0,bottom
U18,Power switch,ts-1212f,168.5612,-112.6308,270.0,bottom
U2,USBLC6-2SC6,SOT-23-6,153.761201,-110.2708,90.0,top
U3,CP2102N-Axx-xQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,145.7812,-106.8208,180.0,top
U4,ESP32-WROOM-32U,ESP32-WROOM-32U,135.0112,-88.7433,180.0,top
U5,~,ts-1212f,216.0612,-113.1308,270.0,bottom
U6,~,ts-1212f,232.5612,-122.1308,270.0,bottom
U7,~,ts-1212f,216.0612,-131.6308,270.0,bottom
U8,~,ts-1212f,106.5612,-122.1308,270.0,bottom
U9,~,ts-1212f,90.0612,-131.6308,270.0,bottom
